id,iconid,name,label,cate,price,value,description,durability,stackable,disappear,anim,script,lv,joblv,sex,job,int,effecttime,Corleone,Tattaglia,Stracci,Cuneo,Barzi,police,ambulance,weight,limit,rare,canRemove
1000028,1000011,六線魚,六線魚,FISH,10,3,魚類的一種，也許釣起來需要質量好的魚竿吧,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000029,1000011,竹筴,竹筴,FISH,11,3,魚類的一種，也許釣起來需要質量好的魚竿吧,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000030,1000011,雞魚,雞魚,FISH,14,3,魚類的一種，也許釣起來需要質量好的魚竿吧,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000031,1000011,針魚,針魚,FISH,9,3,魚類的一種，也許釣起來需要質量好的魚竿吧,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000032,1000011,刀魚,刀魚,FISH,11,3,魚類的一種，也許釣起來需要質量好的魚竿吧,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000033,1000011,多線魚,多線魚,FISH,10,3,魚類的一種，也許釣起來需要質量好的魚竿吧,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000034,1000011,黑鱸魚,黑鱸魚,FISH,10,4,魚類的一種，一般的魚竿釣不起來吧,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000035,1000011,巖魚,巖魚,FISH,10,4,魚類的一種，一般的魚竿釣不起來吧,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000036,1000011,歐洲鯽魚,歐洲鯽魚,FISH,10,4,魚類的一種，一般的魚竿釣不起來吧,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000037,1000011,鮭魚,鮭魚,FISH,10,4,魚類的一種，一般的魚竿釣不起來吧,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000038,1000011,蝶魚,蝶魚,FISH,11,4,魚類的一種，一般的魚竿釣不起來吧,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000039,1000011,九繪,九繪,FISH,10,4,魚類的一種，一般的魚竿釣不起來吧,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000040,1000011,青花,青花,FISH,10,4,魚類的一種，一般的魚竿釣不起來吧,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000041,1000011,鱈魚,鱈魚,FISH,10,4,魚類的一種，一般的魚竿釣不起來吧,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000042,1000011,河豚,河豚,FISH,9,4,魚類的一種，一般的魚竿釣不起來吧,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000043,1000011,虹鱒魚,虹鱒魚,FISH,12,5,魚類的一種，頗為稀有,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000044,1000011,黑魚,黑魚,FISH,12,5,魚類的一種，頗為稀有,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000045,1000011,鰻魚,鰻魚,FISH,12,5,魚類的一種，頗為稀有,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000046,1000011,鰱魚,鰱魚,FISH,12,5,魚類的一種，頗為稀有,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000047,1000011,銀鯉,銀鯉,FISH,11,5,魚類的一種，頗為稀有,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000048,1000011,鰹魚,鰹魚,FISH,11,5,魚類的一種，頗為稀有,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000049,1000011,馬鮫魚,馬鮫魚,FISH,12,5,魚類的一種，頗為稀有,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000050,1000011,旗魚,旗魚,FISH,11,5,魚類的一種，頗為稀有,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000051,1000011,加級,加級,FISH,12,5,魚類的一種，頗為稀有,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000052,1000011,菱,菱,FISH,10,5,魚類的一種，頗為稀有,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000053,1000011,鰤魚,鰤魚,FISH,11,5,魚類的一種，頗為稀有,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000054,1000011,金槍魚,金槍魚,FISH,12,5,魚類的一種，頗為稀有,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000055,1000011,翻車魚,翻車魚,FISH,11,5,魚類的一種，頗為稀有,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000056,1000011,燈籠魚,燈籠魚,FISH,10,6,十分稀有的魚類,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000057,1000011,鯉魚,鯉魚,FISH,11,6,十分稀有的魚類,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000058,1000011,烏賊,烏賊,FISH,11,6,十分稀有的魚類,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000059,1000011,?魚,?魚,FISH,10,6,十分稀有的魚類,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000060,1000011,石斑,石斑,FISH,12,6,十分稀有的魚類,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000061,1000011,腔棘魚,腔棘魚,FISH,10,6,十分稀有的魚類,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000062,1000011,鯊魚,鯊魚,FISH,10,6,十分稀有的魚類,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000063,1000063,海盜的寶物,海盜的寶物,NONE,20000,0,海上的珍寶，誰也不知道到底怎麼漂來的,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000064,1000064,古代魚化石,古代魚化石,NONE,10000,0,珍貴的魚化石，在某些人眼裡具有收藏的價值,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000065,1000065,空瓶子,空瓶子,NONE,0,0,沒什麼價值的東西……,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,1
1000066,1000066,普通魚竿,普通魚竿,TOOL_FISH,0,1,普通魚竿,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,0
1000067,1000067,鐵魚竿,鐵魚竿,TOOL_FISH,0,2,鐵魚竿,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,0
1000068,1000068,銀魚竿,銀魚竿,TOOL_FISH,0,3,銀魚竿,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,0
1000069,1000069,秘銀魚竿,秘銀魚竿,TOOL_FISH,0,4,秘銀魚竿,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,0
1000070,1000070,詛咒魚竿,詛咒魚竿,TOOL_FISH,0,5,詛咒魚竿,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,0
1000071,1000071,祝福魚竿,祝福魚竿,TOOL_FISH,0,6,祝福魚竿,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,0
1000072,1000072,賢者魚竿,賢者魚竿,TOOL_FISH,0,7,賢者魚竿,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99,0,0
